0000-00-00,000,0,0,0
2020-01-01,239,-1.6,-8.6,4
2020-01-02,239,0.7,-3.1,4.4
2020-01-03,239,1.3,-1.9,6.5
2020-01-04,239,0.2,-4.6,7.4
2020-01-05,239,0.6,-5.4,6.5
2020-01-06,239,2.4,-0.6,4.7
2020-01-07,239,8.2,4.6,14.3
2020-01-08,239,3.9,2.1,10.8
2020-01-09,239,0.9,-2.3,4.9
2020-01-10,239,-0.3,-4.3,5.7
2020-01-11,239,0.5,-4,6.1
2020-01-12,239,1,-1.5,5.5
2020-01-13,239,-0.4,-3.3,3.2
2020-01-14,239,-0.5,-3.9,4
2020-01-15,239,-1.6,-5.6,2.9
2020-01-16,239,-1.2,-5.7,4.6
2020-01-17,239,-0.5,-4,4.7
2020-01-18,239,0.2,-5.5,7.1
2020-01-19,239,1.5,-3.6,7.8
2020-01-20,239,2.2,-1.2,7.2
2020-01-21,239,-0.3,-5.6,5.3
2020-01-22,239,1.5,-0.9,3.3
2020-01-23,239,5.8,2.8,11.8
2020-01-24,239,4,-0.5,9.8
2020-01-25,239,4.6,0.1,10.2
2020-01-26,239,6.1,0.7,11
2020-01-27,239,5.5,2.9,7.9
2020-01-28,239,6.4,2.8,10.4
2020-01-29,239,6.5,4.4,10.1
2020-01-30,239,5.6,2.5,10.4
2020-01-31,239,3.3,-0.4,8.8
2020-02-01,239,1.5,-4.3,7.2
2020-02-02,239,1.3,-3.7,6.6
2020-02-03,239,0.8,-2.7,5.2
2020-02-04,239,-0.4,-6.7,5.8
2020-02-05,239,-5.7,-8.2,-0.7
2020-02-06,239,-5.6,-10.9,-0.6
2020-02-07,239,-1.9,-7.7,3.4
2020-02-08,239,0.9,-2.3,5.1
2020-02-09,239,-0.4,-7.3,5.7
2020-02-10,239,4.3,-1.7,11.8
2020-02-11,239,6.4,-2.5,14.7
2020-02-12,239,6.5,3.7,8.8
2020-02-13,239,7.4,4.2,9.8
2020-02-14,239,6.4,2.7,12.5
2020-02-15,239,9.3,2.6,15.4
2020-02-16,239,-0.1,-2.8,7
2020-02-17,239,-3.9,-6.2,-1.1
2020-02-18,239,-2.4,-7.7,4.1
2020-02-19,239,1.2,-4.5,7.8
2020-02-20,239,4.9,-1.5,11.7
2020-02-21,239,6.6,0.1,13.8
2020-02-22,239,5.6,1.2,9.7
2020-02-23,239,3.1,-2,9.3
2020-02-24,239,6.5,-2.6,15.3
2020-02-25,239,6.3,5.1,8.3
2020-02-26,239,7.1,3.1,13.8
2020-02-27,239,5.6,0.3,11.1
2020-02-28,239,4.6,2.9,6.1
2020-02-29,239,7.3,4.2,13.1
2020-03-01,239,5.6,2,10.5
2020-03-02,239,4.5,1.5,9.6
2020-03-03,239,6.2,-0.6,13.8
2020-03-04,239,2.9,-0.6,7.9
2020-03-05,239,2.1,-1.8,9
2020-03-06,239,3.5,-4.4,11.3
2020-03-07,239,5.5,1.6,10.1
2020-03-08,239,8,-0.7,17.3
2020-03-09,239,9.4,2.5,16
2020-03-10,239,6.2,3.2,8.8
2020-03-11,239,4.7,0.8,9.1
2020-03-12,239,6.3,-2,15
2020-03-13,239,5.6,1.1,11.3
2020-03-14,239,4.7,-2.5,10.9
2020-03-15,239,4.8,1.1,11.9
2020-03-16,239,4.2,-1.8,10.6
2020-03-17,239,6.5,0.7,12.1
2020-03-18,239,10.5,2.3,18
2020-03-19,239,10.2,5.8,14.2
2020-03-20,239,9.1,2.9,16.3
2020-03-21,239,13.2,4.5,21.9
2020-03-22,239,12.2,7.2,19
2020-03-23,239,10.2,2.2,18.4
2020-03-24,239,10.3,0.3,18.7
2020-03-25,239,12.7,4,21.2
2020-03-26,239,13.3,8.1,18.9
2020-03-27,239,10.9,4.9,14.1
2020-03-28,239,7.3,4.2,11.7
2020-03-29,239,8.2,-0.3,16.1
2020-03-30,239,10.9,4.1,18
2020-03-31,239,11.5,3.1,20.3
2020-04-01,239,10.6,4.9,19
2020-04-02,239,9.3,2,17.4
