지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
232,천안,2020-12-25,25
232,천안,2020-12-26,42
232,천안,2020-12-27,57
232,천안,2020-12-28,67
232,천안,2020-12-29,57
232,천안,2020-12-30,35
232,천안,2020-12-31,28
232,천안,2021-01-01,32
232,천안,2021-01-02,39
232,천안,2021-01-03,47
232,천안,2021-01-04,43
232,천안,2021-01-05,31
232,천안,2021-01-06,26
232,천안,2021-01-07,32
232,천안,2021-01-08,26
232,천안,2021-01-09,29
232,천안,2021-01-10,38
232,천안,2021-01-11,48
232,천안,2021-01-12,52
232,천안,2021-01-13,87
232,천안,2021-01-14,104
232,천안,2021-01-15,71
232,천안,2021-01-16,60
232,천안,2021-01-17,18
232,천안,2021-01-18,35
232,천안,2021-01-19,29
232,천안,2021-01-20,40
232,천안,2021-01-21,40
232,천안,2021-01-22,32
232,천안,2021-01-23,16
232,천안,2021-01-24,16
232,천안,2021-01-25,26
232,천안,2021-01-26,25
232,천안,2021-01-27,39
232,천안,2021-01-28,45
232,천안,2021-01-29,27
232,천안,2021-01-30,60
232,천안,2021-01-31,55
232,천안,2021-02-01,67
232,천안,2021-02-02,29
232,천안,2021-02-03,30
232,천안,2021-02-04,24
232,천안,2021-02-05,27
232,천안,2021-02-06,54
232,천안,2021-02-07,71
232,천안,2021-02-08,21
232,천안,2021-02-09,25
232,천안,2021-02-10,34
232,천안,2021-02-11,53
232,천안,2021-02-12,59
232,천안,2021-02-13,80
232,천안,2021-02-14,69
232,천안,2021-02-15,33
232,천안,2021-02-16,19
232,천안,2021-02-17,30
232,천안,2021-02-18,36
232,천안,2021-02-19,36
232,천안,2021-02-20,60
232,천안,2021-02-21,56
232,천안,2021-02-22,42
232,천안,2021-02-23,43
232,천안,2021-02-24,51
232,천안,2021-02-25,57
232,천안,2021-02-26,36
232,천안,2021-02-27,19
232,천안,2021-02-28,22
232,천안,2021-03-03,28
232,천안,2021-03-04,31
232,천안,2021-03-05,36
232,천안,2021-03-06,19
232,천안,2021-03-07,28
232,천안,2021-03-08,41
232,천안,2021-03-09,43
232,천안,2021-03-10,57
232,천안,2021-03-11,73
232,천안,2021-03-12,42
232,천안,2021-03-13,31
232,천안,2021-03-14,52
232,천안,2021-03-15,50
232,천안,2021-03-16,83
232,천안,2021-03-17,89
232,천안,2021-03-18,86
232,천안,2021-03-19,47
232,천안,2021-03-20,29
232,천안,2021-03-21,43
232,천안,2021-03-22,38
232,천안,2021-03-23,75
232,천안,2021-03-24,46
232,천안,2021-03-25,59
232,천안,2021-03-26,47
232,천안,2021-03-27,41
232,천안,2021-03-28,14
232,천안,2021-03-29,328
232,천안,2021-03-30,169
232,천안,2021-03-31,47
232,천안,2021-04-01,52
232,천안,2021-04-02,49
232,천안,2021-04-03,31
232,천안,2021-04-06,36
232,천안,2021-04-07,36
232,천안,2021-04-09,28
232,천안,2021-04-10,30
232,천안,2021-04-11,42
232,천안,2021-04-12,28
232,천안,2021-04-13,15
232,천안,2021-04-14,26
232,천안,2021-04-15,33
232,천안,2021-04-16,56
232,천안,2021-04-17,76
232,천안,2021-04-18,32
232,천안,2021-04-19,44
232,천안,2021-04-21,58
232,천안,2021-04-22,55
232,천안,2021-04-23,28
232,천안,2021-04-25,27
232,천안,2021-04-27,32
232,천안,2021-04-28,73
232,천안,2021-04-29,70
232,천안,2021-04-30,30
232,천안,2021-05-01,29
232,천안,2021-05-03,31
232,천안,2021-05-04,27
232,천안,2021-05-05,44
232,천안,2021-05-06,68
232,천안,2021-05-07,273
232,천안,2021-05-08,396
232,천안,2021-05-09,77
232,천안,2021-05-10,13
232,천안,2021-05-11,24
232,천안,2021-05-12,28
232,천안,2021-05-13,34
232,천안,2021-05-14,53
232,천안,2021-05-15,38
232,천안,2021-05-16,10
232,천안,2021-05-18,29
